overall,round,team,player,nat,pos,age,birthMonth,to,amateurTeam,amateurLeage,nhl_a,nhl_pts,nhl_plusMinus,nhl_pim,nhlG_g,nhlG_w,nhlG_l,nhlG_tiesOT,nhlG_saveP,nhlG_avgGoalsAgainst,pointShare
80,3,Calgary Flames,Jake Boltmann,US,D,18,10,,Edina HS ,High-MN,,,,,,,,,,,
81,3,Chicago Blackhawks,Wyatt Kaiser,US,D,18,7,2025,Andover HS ,High-MN,14,18,-4,40,,,,,,,4.3
82,3,Vancouver Canucks,Joni Jurmo,FI,D,18,4,,Jokerit Jr. ,Finland Jr.,,,,,,,,,,,
83,3,Los Angeles Kings,Alex Laferriere,US,RW,18,10,2025,Des Moines Buccaneers ,USHL,34,65,8,66,,,,,,,6.1
84,3,New Jersey Devils,Nicolas Daws,DE,G,19,12,2025,Guelph Storm ,OHL,1,1,0,0,52,22,23,1,0.898,2.98,6.4
85,3,Tampa Bay Lightning,Maxim Groshev,RU,RW,18,12,,Neftekhimik Nizhnekamsk ,Russia,,,,,,,,,,,
86,3,St. Louis Blues,Dylan Peterson,US,C,18,1,,USA U-18 Development Team ,USDP/USHL,,,,,,,,,,,
87,3,Florida Panthers,Justin Sourdif,CA,RW,18,3,2025,Vancouver Giants ,WHL,0,1,1,0,,,,,,,0.2
88,3,St. Louis Blues,Leo Loof,SE,D,18,4,,Farjestad BK Jr. ,Sweden Jr.,,,,,,,,,,,
89,3,Boston Bruins,Trevor Kuntar,US,C,19,6,,Youngstown Phantoms ,USHL,,,,,,,,,,,
90,3,New York Islanders,Alexander Ljungkrantz,SE,RW,18,2,,Brynas IF Jr. ,Sweden Jr.,,,,,,,,,,,
91,3,Vegas Golden Knights,Jackson Hallum,US,LW,18,9,,St. Thomas Academy ,High-MN,,,,,,,,,,,
92,3,New York Rangers,Oliver Tarnstrom,SE,C,18,8,,AIK Jr. ,Sweden Jr.,,,,,,,,,,,
93,3,Tampa Bay Lightning,Jack Thompson,CA,D,18,3,2025,Sudbury Wolves ,OHL,6,10,-11,10,,,,,,,1.1
94,4,Philadelphia Flyers,Zayde Wisdom,CA,RW,18,7,,Kingston Frontenacs ,OHL,,,,,,,,,,,
95,4,Florida Panthers,Michael Benning,CA,D,18,1,,Sherwood Park ,AJHL,,,,,,,,,,,
96,4,Calgary Flames,Daniil Chechelev,RU,G,19,2,,Russike Vityazi Checkov ,Russia Jr.,,,,,,,,,,,
97,4,Detroit Red Wings,Sam Stange,US,RW,19,4,,Sioux Falls Stampede ,USHL,,,,,,,,,,,
98,4,San Jose Sharks,Brandon Coe,CA,RW,18,12,,North Bay Battalion ,OHL,,,,,,,,,,,
99,4,New Jersey Devils,Jaromir Pytlik,CZ,C,18,9,,Soo Greyhounds ,OHL,,,,,,,,,,,
100,4,Edmonton Oilers,Carter Savoie,CA,LW,18,1,,Sherwood Park ,AJHL,,,,,,,,,,,
101,4,Nashville Predators,Adam Wilsby,SE,D,20,8,2025,Sodertalje SK ,Sweden-2,4,5,3,6,,,,,,,1.4
102,4,Montreal Canadiens,Jack Smith,US,C,18,7,,St. Cloud Cathedral HS ,High-MN,,,,,,,,,,,
103,4,New York Rangers,Dylan Garand,CA,G,18,6,,Kamloops Blazers ,WHL,,,,,,,,,,,
104,4,Anaheim Ducks,Thimo Nickl,AT,D,18,12,,Drummondville Voltigeurs ,QMJHL,,,,,,,,,,,
105,4,Florida Panthers,Zachary Uens,CA,D,19,5,,Merrimack ,H-East,,,,,,,,,,,
106,4,Toronto Maple Leafs,Artur Akhtyamov,RU,G,18,10,,Irbis Kazan ,Russia Jr.,,,,,,,,,,,
107,4,Detroit Red Wings,Jan Bednar,CZ,G,18,8,,HC Banik Sokolov ,Czech-2,,,,,,,,,,,
108,4,Pittsburgh Penguins,Lukas Svejkovsky,US,C,18,11,,Medicine Hat Tigers ,WHL,,,,,,,,,,,
109,4,Montreal Canadiens,Blake Biondi,US,C,18,4,,Hermantown HS ,High-MN,,,,,,,,,,,
110,4,Chicago Blackhawks,Michael Krutil,CZ,D,18,6,,HC Sparta Praha Jr. ,Czech Jr.,,,,,,,,,,,
111,4,Arizona Coyotes,Mitchell Miller,US,D,18,12,,Tri-City Storm ,USHL,,,,,,,,,,,
112,4,Los Angeles Kings,Juho Markkanen,CA,G,18,4,,SaiPa Jr. ,Finland Jr.,,,,,,,,,,,
113,4,Vancouver Canucks,Jackson Kunz,US,LW,18,8,,Shattuck-St. Mary's School ,High-MN,,,,,,,,,,,
